company_name,cin,other_name,other_cin
RELIANCE PROJECT VENTURES AND MANAGEMENT PRIVATE LIMITED,U74999MH2005PTC150536,AAA PROJECT VENTURES PRIVATE LIMITED;RELIANCE PROJECT VENTURES AND MANAGEMENT PRIVATE L IMITED;Reliance Project Ventures and Management Private Limited,
AABSYS INFORMATION TECHNOLOGY PRIVATE LIMITED,U72100OR1998PTC005427,AABSYS INFORMATION TECHNOLOGY PRIVATELIMITED,
AAC MINING EXECUTORS INDIA PRIVATE LIMITED,U14200RJ2012PTC037768,AAC Mining Executors India Private Limited;AAC MINING EXECUTORS INDIA PRIVATELIMITED,
AACHI MASALA FOODS PRIVATE LIMITED,U15495TN2006PTC060397,AACHI MASALA FOOD'S PRIVATE LIMITED;Aachi MASALA FOODS PRIVATE LIMITED,
AACHI SPECIAL FOODS PRIVATE LIMITED,U15400TN2007PTC064716,Aachi Special Foods Private Limited,
OXYGEN BUSINESS PARK PRIVATE LIMITED,U72300UP2007PTC075901,AACHVIS SOFTECH PRIVATE LIMITED,U72300DL2007PTC165628
AAD TECH (INDIA) PRIVATE LIMITED,U29192MH2006PTC165738,AAD Tech India Private Limited,
PARSVNATH BUILDWELL PRIVATE LIMITED,U45400DL2008PTC178395,AADARSHINI BUILDWELL PRIVATE LIMITED,
ATRIUM PLACE DEVELOPERS PRIVATE LIMITED,U74899HR2005PTC114811,AADARSHINI REAL ESTATE DEVELOPERS PRIVATE LIMITED;AADARSHINI REAL ESTATE DEVELOPERSPRIVATE LIMITED,U74899DL2005PTC143655
AADHAR HOUSING FINANCE LIMITED,U65922KA2010PLC096680,AADHAR HOUSING FINANCE PRIVATE LIMITED,L66010KA1990PLC011409;U65922MH2010PLC202721;U66010KA1990PLC011409
AADHI ENTERPRISES PRIVATE LIMITED,U51909TN2014PTC098044,AADHI ENTERPIRSES PRIVATE LIMITED,
